Module,SourceDatabaseName,Name,FacilityType,BillingType,InspectionDate,Type,FollowupInspectionRequired,NextInspection,NumCritical,NumNonCritical,NumRepeat,TotHazardRating
Food,St. Louis EHS Live,Kay Pee's Sandwich Stop,CARRYOUT,Medium Complexity,20140110,Routine,No,,1,1,0,97
Food,St. Louis EHS Live,Palacios Mexican Restaurant,RESTAURANT,Initial Permit Application,20140110,Opening,Yes,19-Feb-14,2,2,0,94
Food,St. Louis EHS Live,Lucky Chop Suey,CARRYOUT,Medium Complexity,20140110,Routine,No,,1,0,0,97
Food,St. Louis EHS Live,Steak N Shake,RESTAURANT,Medium Complexity,20140110,Re-inspection,No,,0,3,0,97
Food,St. Louis EHS Live,Triple Crown Bar And Coffee,TAVERN,Low Complexity,20140110,Compliance,No,,0,0,0,100
Food,St. Louis EHS Live,Fro's Place,RESTAURANT,Initial Permit Application,20140110,Compliance,No,,0,0,0,100
Food,St. Louis EHS Live,Rex's Cafe,RESTAURANT,High Complexity,20140110,Compliance,No,,0,0,0,100
Food,St. Louis EHS Live,Arby's Roast Beef Restaurant #,RESTAURANT,Medium Complexity,20140110,Compliance,No,,0,0,0,100
Food,St. Louis EHS Live,Reno's Pub,TAVERN,Low Complexity,20140110,Compliance,No,,0,0,0,100
Food,St. Louis EHS Live,Le Camion Bistro,TRUCK - PREP,Medium Complexity,20140110,Routine,No,,0,0,0,100
Food,St. Louis EHS Live,Smalls Tea & Coffee,CARRYOUT,Initial Permit Application,20140113,Opening,No,,0,0,0,100
Food,St. Louis EHS Live,Kuresht Petroleum,GROCERY/MEAT/FISH/PRODUCE,Grocery Store,20140113,Opening,Yes,27-Feb-14,1,0,0,97
Food,St. Louis EHS Live,Johnny's,RESTAURANT,High Complexity,20140113,Routine,No,,0,0,0,100
Food,St. Louis EHS Live,Hammerstone's At Ninth & Russell,RESTAURANT,High Complexity,20140113,Routine,No,,0,0,0,100
Food,St. Louis EHS Live,John D McGurks,RESTAURANT,High Complexity,20140113,Routine,No,,0,0,0,100
Food,St. Louis EHS Live,Jet's Pizzeria,RESTAURANT,Initial Permit Application,20140113,Re-inspection,Yes,17-Jan-14,1,2,0,96
Food,St. Louis EHS Live,El Potro,GROCERY/MEAT/FISH/PRODUCE,Grocery Store,20140113,Complaint,No,,0,0,0,100
Food,St. Louis EHS Live,Etta's Cafe @ Steinberg / Washington University,RESTAURANT,Low Complexity,20140113,Routine,No,,0,1,0,99
Food,St. Louis EHS Live,The Racquet Club,RESTAURANT,High Complexity,20140113,Routine,No,,0,1,1,99
Food,St. Louis EHS Live,Sacred Heart Villa,DAYCARE CENTER,Medium Complexity,20140113,Routine,No,,0,1,0,99
Food,St. Louis EHS Live,Tavolo V,RESTAURANT,Medium Complexity,20140113,Routine,No,,0,3,2,97
Food,St. Louis EHS Live,Bommar's Sports Bar & Grill,RESTAURANT,Medium Complexity,20140113,Routine,No,,0,0,0,100
Food,St. Louis EHS Live,Hooters Of Kiener Plaza,RESTAURANT,Medium Complexity,20140113,Routine,No,,0,1,0,99
Food,St. Louis EHS Live,TGI Fridays,RESTAURANT,High Complexity,20140113,Routine,No,,0,2,1,98
Food,St. Louis EHS Live,Delmar Lee's,CARRYOUT,Medium Complexity,20140113,Complaint,No,,0,1,0,99
Food,St. Louis EHS Live,Wondering Minds Preschool,DAYCARE CENTER,Medium Complexity,20140113,Routine,No,,0,0,0,100
Food,St. Louis EHS Live,Caleco's Bar & Grill,RESTAURANT,High Complexity,20140113,Routine,No,,1,6,2,92
Food,St. Louis EHS Live,Charlie Gitto's Pasta House,RESTAURANT,High Complexity,20140113,Routine,No,,1,4,0,93
Food,St. Louis EHS Live,St Mary's High School Cafeteria,SCHOOL - PREP,High Complexity,20140113,Routine,No,,0,1,0,99
Food,St. Louis EHS Live,MCL - 183,TAVERN,Initial Permit Application,20140113,Routine,No,,0,0,0,100
Food,St. Louis EHS Live,Specialized Catering Inc,COMMISSARY,High Complexity,20140113,Routine,No,,0,2,0,99
Food,St. Louis EHS Live,Royal Kebab Restaurant,RESTAURANT,Medium Complexity,20140113,Compliance,No,,0,0,0,100
Food,St. Louis EHS Live,Pueblo Solis,RESTAURANT,Medium Complexity,20140113,Compliance,No,,0,0,0,100
Food,St. Louis EHS Live,Schnucks Bakery,BAKERY,Low Complexity,20140113,Complaint,No,,1,0,0,97
Food,St. Louis EHS Live,Yummies Restaurant,RESTAURANT,Medium Complexity,20140113,Complaint,No,,,,1,95
Food,St. Louis EHS Live,Carr Square Tenant Management,COMMISSARY,Medium Complexity,20140113,Routine,Yes,17-Jan-14,1,2,0,96
Food,St. Louis EHS Live,Food Outreach Inc,INSTITUTION,Medium Complexity,20140113,Routine,No,,0,1,1,99
Food,St. Louis EHS Live,Mary Mcelroy Day Care Center,DAYCARE CENTER,Medium Complexity,20140113,Routine,No,,0,1,0,99
Food,St. Louis EHS Live,911 Head Start #1,DAYCARE CENTER,Medium Complexity,20140113,Routine,No,,0,0,0,100
Food,St. Louis EHS Live,7-Eleven #19501,GROCERY - Limited Prep,Grocery Store,20140113,Routine,No,,1,1,0,96
Food,St. Louis EHS Live,St Nicholas Preschool,DAYCARE CENTER,Medium Complexity,20140114,Routine,No,,0,1,0,99
Food,St. Louis EHS Live,Gwenny's Kitchen & Catering,CATERER,High Complexity,20140114,Routine,No,,0,1,0,99
Food,St. Louis EHS Live,House Of Montessori Education,DAYCARE CENTER,Medium Complexity,20140114,Routine,No,,0,1,1,99
Food,St. Louis EHS Live,Burger King #16791,RESTAURANT,Medium Complexity,20140114,Routine,No,,0,2,0,98
Food,St. Louis EHS Live,Onesto Pizza & Trattoria,RESTAURANT,Medium Complexity,20140114,Routine,No,,2,1,0,93
Food,St. Louis EHS Live,Mcdonald's Restaurant,RESTAURANT,Medium Complexity,20140114,Routine,No,,0,3,2,97
Food,St. Louis EHS Live,Pizza Hut 4940,CARRYOUT,Medium Complexity,20140114,Routine,No,,0,1,0,99
Food,St. Louis EHS Live,Wendy's Old Fashioned Hamburgers,RESTAURANT,Medium Complexity,20140114,Complaint,No,,0,2,0,98
Food,St. Louis EHS Live,Bing Lau Chop Suey,CARRYOUT,Medium Complexity,20140114,Routine,No,,0,3,1,97
Food,St. Louis EHS Live,Church's Chicken #484,CARRYOUT,Medium Complexity,20140114,Routine,No,,0,2,0,98
Food,St. Louis EHS Live,Hot Aztec,TRUCK - PREP,Medium Complexity,20140114,Routine,No,,0,0,0,100
Food,St. Louis EHS Live,Crown Food,GROCERY/MEAT/FISH/PRODUCE,Grocery Store,20140114,Routine,No,,0,1,1,99
Food,St. Louis EHS Live,Zodiac Lounge,RESTAURANT,Medium Complexity,20140114,Routine,No,,0,0,0,100
Food,St. Louis EHS Live,Herbert Hoover Boys & Girls Club,SCHOOL - VITA,Low Complexity,20140114,Routine,No,,0,0,0,100
Food,St. Louis EHS Live,Chinese Wok,CARRYOUT,High Complexity,20140114,Routine,No,,1,3,2,94
Food,St. Louis EHS Live,Seoul Taco,TRUCK - PREP,Medium Complexity,20140114,Routine,Yes,16-Jan-14,2,0,1,95
Food,St. Louis EHS Live,Crown Mart,CARRYOUT,Medium Complexity,20140114,Routine,No,,0,1,1,99
Food,St. Louis EHS Live,9th Street Bar & Grill,RESTAURANT,High Complexity,20140114,Routine,No,,1,5,1,93
Food,St. Louis EHS Live,Lorenzo's Trattoria,RESTAURANT,Medium Complexity,20140114,Routine,No,,0,0,0,100
Food,St. Louis EHS Live,Dominic's,RESTAURANT,Medium Complexity,20140114,Routine,No,,0,1,0,99
Food,St. Louis EHS Live,Evangeline's,RESTAURANT,Medium Complexity,20140114,Routine,No,,0,1,0,99
Food,St. Louis EHS Live,Failoni's Tavern,RESTAURANT,Medium Complexity,20140114,Routine,No,,0,2,1,98
Food,St. Louis EHS Live,Eagle College Prep,SCHOOL - PREP,Initial Permit Application,20140114,Routine,No,,0,0,0,100
Food,St. Louis EHS Live,St John The Baptist Cafeteria,SCHOOL - PREP,Medium Complexity,20140114,Routine,No,,0,1,1,99
Food,St. Louis EHS Live,Youth In Need,DAYCARE CENTER,Medium Complexity,20140114,Routine,No,,0,0,0,100
Food,St. Louis EHS Live,St Anthony Of Padua,CHURCHES,Low Complexity,20140114,Routine,No,,0,0,0,100
Food,St. Louis EHS Live,Keetons Double Play,RESTAURANT,Medium Complexity,20140114,Routine,No,,0,0,0,100
Food,St. Louis EHS Live,Urban Eats Cafe' & Bakery,RESTAURANT,Medium Complexity,20140114,Routine,No,,0,0,0,100
Food,St. Louis EHS Live,Beyond Broadway,CATERER,High Complexity,20140114,Routine,No,,0,0,0,100
Food,St. Louis EHS Live,Aramark @ Anheuser Busch Headquarters,RESTAURANT,High Complexity,20140114,Routine,No,,0,0,0,100
Food,St. Louis EHS Live,Park Chop Suey,CARRYOUT,High Complexity,20140114,Routine,No,,0,1,0,99
Food,St. Louis EHS Live,Rosalitas Cantina,RESTAURANT,Medium Complexity,20140114,Routine,Yes,14-Jan-14,3,4,1,91
Food,St. Louis EHS Live,Rosalitas Cantina,RESTAURANT,Medium Complexity,20140114,Re-inspection,No,,0,0,0,100
Food,St. Louis EHS Live,The In Spot,RESTAURANT,Low Complexity,20140114,Compliance,No,,0,0,0,100
Food,St. Louis EHS Live,Mischeaux's Clean City,RESTAURANT,Medium Complexity,20140114,Routine,No,,2,4,1,91
Food,St. Louis EHS Live,Transformation Christian School,SCHOOL - PREP,Medium Complexity,20140115,Routine,Yes,21-Jan-14,1,0,0,97
Food,St. Louis EHS Live,Northview Village Inc,NURSING HOME,High Complexity,20140115,Routine,No,,0,1,0,99
Food,St. Louis EHS Live,Regal Market,GROCERY - Limited Prep,Grocery Store,20140115,Routine,No,,0,1,0,99
Food,St. Louis EHS Live,Family Food Market,GROCERY/MEAT/FISH/PRODUCE,Grocery Store,20140115,Routine,No,,0,3,1,97
Food,St. Louis EHS Live,Gyro Grill,RESTAURANT,Medium Complexity,20140115,Routine,No,,0,3,0,97
Food,St. Louis EHS Live,The Cakery Bakery,BAKERY,Low Complexity,20140115,Routine,No,,0,0,0,100
Food,St. Louis EHS Live,Anthonino's Taverna,RESTAURANT,Medium Complexity,20140115,Routine,No,,0,1,1,99
Food,St. Louis EHS Live,New City School,SCHOOL - PREP,Medium Complexity,20140115,Routine,No,,0,0,0,100
Food,St. Louis EHS Live,China King Restaurant,RESTAURANT,High Complexity,20140115,Routine,No,,0,0,0,100
Food,St. Louis EHS Live,St Luke's Lutheran School Cafe,DAYCARE CENTER,Medium Complexity,20140115,Routine,No,,0,0,0,100
Food,St. Louis EHS Live,Mr International Market,BAKERY,Initial Permit Application,20140115,Re-inspection,No,,0,0,0,100
Food,St. Louis EHS Live,Wildflower,RESTAURANT,Medium Complexity,20140115,Routine,Yes,29-Jan-14,1,4,0,93
Food,St. Louis EHS Live,Comfort Inn,RESTAURANT,Initial Permit Application,20140115,Opening,No,,1,0,0,97
Food,St. Louis EHS Live,White Castle System #27,RESTAURANT,Medium Complexity,20140115,Routine,Yes,21-Jan-14,1,0,0,97
Food,St. Louis EHS Live,St Louis University High School,SCHOOL - PREP,High Complexity,20140115,Routine,No,,1,0,0,97
Food,St. Louis EHS Live,Barr Nunn Smokehouse & Grill,RESTAURANT,Initial Permit Application,20140115,Routine,No,,0,0,0,100
Food,St. Louis EHS Live,Tutti Frutti Frozen Yogart,RESTAURANT,Initial Permit Application,20140115,Re-inspection,No,,0,0,0,100
Food,St. Louis EHS Live,McDonald's,RESTAURANT,Medium Complexity,20140115,Routine,No,,0,0,0,100
Food,St. Louis EHS Live,Gregg's Bar & Grill,RESTAURANT,High Complexity,20140115,Routine,No,,0,0,0,100
Food,St. Louis EHS Live,Compass Group @ Covidien,RESTAURANT,High Complexity,20140115,Routine,No,,0,0,0,100
Food,St. Louis EHS Live,Chili Mac's Diner,RESTAURANT,Medium Complexity,20140115,Routine,No,,0,0,0,100
Food,St. Louis EHS Live,Love's Travel Stop #461,GROCERY/MEAT/FISH/PRODUCE,Grocery Store,20140115,Routine,No,,0,0,0,100
Food,St. Louis EHS Live,Love's Travel Stop #461,RESTAURANT,Low Complexity,20140115,Routine,No,,0,0,0,100
Food,St. Louis EHS Live,Barnett Market,GROCERY - Limited Prep,Grocery Store,20140115,Routine,No,,0,0,0,100
Food,St. Louis EHS Live,Epiphany United Church of Christ,CHURCHES,Initial Permit Application,20140115,Re-inspection,No,,0,0,0,100
Food,St. Louis EHS Live,Us Bank Employee Cafeteria,RESTAURANT,Medium Complexity,20140115,Routine,No,,0,0,0,100
Food,St. Louis EHS Live,Maurizio's Pizza,RESTAURANT,Medium Complexity,20140115,Routine,No,,1,3,0,95
Food,St. Louis EHS Live,Sauce On The Side,RESTAURANT,Medium Complexity,20140115,Routine,No,,0,2,0,98
Food,St. Louis EHS Live,Hampton Inn St Louis,RESTAURANT,Medium Complexity,20140115,Routine,No,,0,2,1,98
Food,St. Louis EHS Live,Flying Saucer,RESTAURANT,Medium Complexity,20140115,Routine,No,,1,3,2,95
Food,St. Louis EHS Live,The Range,RESTAURANT,High Complexity,20140115,Routine,No,,0,4,0,96
Food,St. Louis EHS Live,Pickles Deli,RESTAURANT,Medium Complexity,20140115,Routine,No,,0,1,1,99
Food,St. Louis EHS Live,Angelos Taverna,RESTAURANT,High Complexity,20140116,Routine,No,,0,1,0,99
Food,St. Louis EHS Live,Mike Shannon S Steaks & Seafood,RESTAURANT,High Complexity,20140116,Routine,No,,0,3,1,97
Food,St. Louis EHS Live,Eurest Dining Svs @ Bank Of America,RESTAURANT,High Complexity,20140116,Routine,No,,0,0,0,100
Food,St. Louis EHS Live,Mcdonald's #13970,RESTAURANT,Medium Complexity,20140116,Re-inspection,No,,0,1,1,100
Food,St. Louis EHS Live,Fazoli's #1661,RESTAURANT,High Complexity,20140116,Routine,No,,0,2,1,98
Food,St. Louis EHS Live,Carrie Ellison Gietner Home,NURSING HOME,High Complexity,20140116,Routine,No,,1,3,3,95
Food,St. Louis EHS Live,Sassafras Cafe,RESTAURANT,Medium Complexity,20140116,Re-inspection,No,,0,0,0,100
Food,St. Louis EHS Live,Egg Roll Kitchen,CARRYOUT,Medium Complexity,20140116,Routine,No,,0,0,0,100
Food,St. Louis EHS Live,Canton House Chop Suey,CARRYOUT,Medium Complexity,20140116,Routine,No,,0,3,0,97
Food,St. Louis EHS Live,Baden Christian Childcare Ctr,DAYCARE CENTER,Medium Complexity,20140116,Routine,No,,0,0,0,100
Food,St. Louis EHS Live,Mess Pat's Daycare,DAYCARE CENTER,Medium Complexity,20140116,Routine,No,,0,0,0,100
Food,St. Louis EHS Live,O'Shay's Pub,RESTAURANT,Medium Complexity,20140116,Routine,No,,0,0,0,100
Food,St. Louis EHS Live,St Louis Woman's Club,RESTAURANT,Medium Complexity,20140116,Routine,No,,0,1,0,99
Food,St. Louis EHS Live,Christy Park Preschool/Daycare,DAYCARE CENTER,Medium Complexity,20140116,Routine,No,,0,0,0,100
Food,St. Louis EHS Live,SCHOEMEHL'S SOUTHSIDE GRILL,RESTAURANT,Medium Complexity,20140116,Routine,No,,1,4,0,93
Food,St. Louis EHS Live,Seoul Taco,TRUCK - PREP,Medium Complexity,20140116,Re-inspection,Yes,17-Jan-14,1,0,1,97
Food,St. Louis EHS Live,Metropolitan Newstands,GROCERY - Limited Prep,Grocery Store,20140116,Routine,No,,0,1,1,99
Food,St. Louis EHS Live,Bryan Cave Law Firm Dining Room,RESTAURANT,Medium Complexity,20140116,Routine,Yes,21-Jan-14,2,0,0,95
Food,St. Louis EHS Live,Jack In The Box,RESTAURANT,Medium Complexity,20140116,Routine,No,,0,2,0,98
Food,St. Louis EHS Live,Hodak's Restaurant,RESTAURANT,High Complexity,20140116,Routine,No,,0,1,0,99
Food,St. Louis EHS Live,El Paisano,RESTAURANT,Medium Complexity,20140116,Routine,No,,0,3,1,97
Food,St. Louis EHS Live,The Corner Cup,RESTAURANT,Initial Permit Application,20140116,Opening,No,,0,0,0,100
Food,St. Louis EHS Live,Vitale's Bakery,BAKERY,Low Complexity,20140116,Routine,No,,0,2,0,98
Food,St. Louis EHS Live,Llywelyn's Pub,RESTAURANT,High Complexity,20140116,Routine,No,,0,2,2,98
Food,St. Louis EHS Live,El Tapatio,RESTAURANT,High Complexity,20140116,Routine,No,,0,1,1,99
Food,St. Louis EHS Live,Bixby's,RESTAURANT,Medium Complexity,20140116,Routine,No,,0,1,0,99
Food,St. Louis EHS Live,St Louis Altenheim,NURSING HOME,High Complexity,20140116,Routine,No,,0,2,0,98
Food,St. Louis EHS Live,Central Baptist Church,CHURCHES,Medium Complexity,20140116,Routine,No,,0,1,0,99
Food,St. Louis EHS Live,Jefferson Motomart #3370,GROCERY - Limited Prep,Grocery Store,20140116,Routine,Yes,29-Jan-14,2,1,0,95
Food,St. Louis EHS Live,Sigma Aldrich - DEKALB,RESTAURANT,Medium Complexity,20140116,Routine,No,,0,1,0,99
Food,St. Louis EHS Live,City Seniors Inc,SENIOR CENTERS,Medium Complexity,20140116,Routine,No,,0,0,0,100
Food,St. Louis EHS Live,Mangia Italiano,RESTAURANT,Medium Complexity,20140116,Routine,No,,0,0,0,100
Food,St. Louis EHS Live,Planter's House,RESTAURANT,Initial Permit Application,20140116,Re-inspection,No,,0,2,0,98
Food,St. Louis EHS Live,MO Kettle Corn,CART - PREP,Initial Permit Application,20140116,Re-inspection,No,,0,0,0,100
Food,St. Louis EHS Live,Spink Pavilion,RESTAURANT,High Complexity,20140116,Routine,No,,0,2,0,98
Food,St. Louis EHS Live,Club Dantes,TAVERN,Low Complexity,20140116,Re-inspection,No,,0,0,0,100
Food,St. Louis EHS Live,Friends A Meeting Place,DAYCARE CENTER,Medium Complexity,20140116,Routine,No,,0,0,0,100
Food,St. Louis EHS Live,Rally's #8141,CARRYOUT,Medium Complexity,20140116,Routine,Yes,17-Jan-14,3,2,1,92
Food,St. Louis EHS Live,Plush,RESTAURANT,Medium Complexity,20140116,Routine,No,,2,3,0,94
Food,St. Louis EHS Live,Rally's #8141,CARRYOUT,Medium Complexity,20140117,Re-inspection,No,,0,2,2,98
Food,St. Louis EHS Live,Ronell's Market & Cafe,GROCERY - Limited Prep,Grocery Store,20140117,Routine,No,,1,3,1,95
Food,St. Louis EHS Live,Ronal C Bridewell Christian Adult Day Care,DAYCARE CENTER,Medium Complexity,20140117,Routine,No,,2,1,0,94
Food,St. Louis EHS Live,Blondie's Coffee And Wine Bar,RESTAURANT,Medium Complexity,20140117,Routine,No,,1,2,1,95
Food,St. Louis EHS Live,Tucker Shell,GROCERY - Limited Prep,Grocery Store,20140117,Re-inspection,Yes,22-Apr-14,0,0,0,100
Food,St. Louis EHS Live,Entre Underground,COMMISSARY,Medium Complexity,20140117,Routine,No,,0,1,1,99
Food,St. Louis EHS Live,Deli On a Roll,RESTAURANT,Low Complexity,20140117,Routine,No,,0,0,0,100
Food,St. Louis EHS Live,Restaurant Cielito Lindo,RESTAURANT,Medium Complexity,20140117,Routine,No,,0,0,0,100
Food,St. Louis EHS Live,Fleur De Lys Mansion,CARRYOUT,Initial Permit Application,20140117,Opening,Yes,21-Feb-14,1,0,0,97
Food,St. Louis EHS Live,Coliseum Music Lounge,RESTAURANT,Medium Complexity,20140117,Routine,No,,0,0,0,100
Food,St. Louis EHS Live,Bishop Dubourg High School Caf,SCHOOL - PREP,High Complexity,20140117,Routine,No,,0,0,0,100
Food,St. Louis EHS Live,Fro's Place,RESTAURANT,Initial Permit Application,20140117,Compliance,No,,0,0,0,100
Food,St. Louis EHS Live,Perennial Artisan Ales,RESTAURANT,Medium Complexity,20140117,Compliance,No,,0,0,0,100
Food,St. Louis EHS Live,St Stanislaus Church Banquet Room,RESTAURANT,Medium Complexity,20140117,Routine,No,,0,0,0,100
Food,St. Louis EHS Live,Carr Square Tenant Management,COMMISSARY,Medium Complexity,20140117,Re-inspection,No,,0,0,0,100
Food,St. Louis EHS Live,SCHOEMEHL'S SOUTHSIDE GRILL,RESTAURANT,Medium Complexity,20140117,Compliance,No,,0,0,0,100
Food,St. Louis EHS Live,Sqwires Restaurant & Market,RESTAURANT,High Complexity,20140117,Routine,No,,0,1,0,99
